,word,audio,defination,example,synonyms
15,Preach,https://lex-audio.useremarkable.com/mp3/preach_gb_1.mp3,"Deliver a sermon or religious address to an assembled group of people, typically in church.",He preached to a large congregation,"'give a sermon', 'deliver a sermon', 'sermonize', 'spread the gospel', 'evangelize', 'address', 'speak'"
16,Troublesome,https://lex-audio.useremarkable.com/mp3/troublesome_us_1.mp3,Causing difficulty or annoyance.,A troublesome knee injury,"'annoying', 'irritating', 'exasperating', 'maddening', 'infuriating', 'irksome', 'vexatious', 'vexing', 'inconvenient', 'bothersome', 'tiresome', 'worrying', 'worrisome', 'disturbing', 'upsetting', 'distressing', 'perturbing', 'concerning', 'niggling', 'nagging'"
17,Benign,https://lex-audio.useremarkable.com/mp3/benign_us_1.mp3,Gentle and kindly.,His benign but firm manner,"'kindly', 'kind', 'warm-hearted', 'good-natured', 'friendly', 'warm', 'affectionate', 'agreeable', 'amiable', 'good-humoured', 'genial', 'congenial', 'cordial', 'approachable', 'tender', 'tender-hearted', 'soft-hearted', 'gentle', 'sympathetic', 'compassionate', 'caring', 'considerate', 'thoughtful', 'helpful', 'well disposed', 'obliging', 'accommodating', 'generous', 'big-hearted', 'unselfish', 'benevolent', 'gracious', 'liberal', 'indulgent'"
18,Insurmountable,https://lex-audio.useremarkable.com/mp3/insurmountable_us_1.mp3,Too great to be overcome.,An insurmountable problem,"'insuperable', 'unconquerable', 'invincible', 'unassailable'"
19,Discontent,https://lex-audio.useremarkable.com/mp3/discontent_us_1.mp3,Lack of contentment; dissatisfaction with one's circumstances.,The discontents and anxieties of the working class,"'dissatisfaction', 'disaffection', 'discontentment', 'discontentedness', 'disgruntlement', 'grievances', 'unhappiness', 'displeasure', 'bad feelings', 'resentment', 'envy'"
20,Threaten,https://lex-audio.useremarkable.com/mp3/threaten_us_1.mp3,State one's intention to take hostile action against someone in retribution for something done or not done.,The unions threatened a general strike,"'menace', 'intimidate', 'browbeat', 'bully', 'cow', 'pressurize', 'lean on', 'terrorize', 'frighten', 'scare', 'alarm'"
21,Heyday,https://lex-audio.useremarkable.com/mp3/heyday_us_1.mp3,"The period of a person's or thing's greatest success, popularity, or vigor.",The paper has lost millions of readers since its heyday in 1964,"'prime', 'peak', 'height', 'high point', 'high spot', 'peak of perfection', 'pinnacle', 'acme', 'zenith', 'day', 'time', 'bloom', 'flowering', 'culmination', 'crowning point'"
22,Meantime,https://lex-audio.useremarkable.com/mp3/meantime_us_1.mp3,Meanwhile.,"In the meantime, i'll make some inquiries of my own","'for now', 'for the moment', 'for the present', 'for the time being', 'in the meantime', 'in the intervening period', 'in the interim', 'in the interval', 'meanwhile', 'in the meanwhile', 'the while', 'temporarily'"
23,Inevitably,https://lex-audio.useremarkable.com/mp3/inevitably_us_1.mp3,As is certain to happen; unavoidably.,Inevitably some details are already out of date,"'naturally', 'automatically', 'as a matter of course', 'necessarily', 'of necessity', 'by force of circumstance', 'inescapably', 'unavoidably', 'ineluctably', 'certainly', 'surely', 'definitely', 'incontrovertibly', 'undoubtedly'"
24,Realization,https://lex-audio.useremarkable.com/mp3/realization_us_1.mp3,An act of becoming fully aware of something as a fact.,There was a growing realization of the need to create common economic structures,"'awareness', 'understanding', 'comprehension', 'consciousness', 'apprehension', 'cognizance', 'appreciation', 'recognition', 'perception', 'discernment'"
25,Assertive,https://lex-audio.useremarkable.com/mp3/assertive_us_2.mp3,Having or showing a confident and forceful personality.,Patients should be more assertive with their doctors,"'confident', 'forceful', 'self-confident', 'positive', 'bold', 'decisive', 'assured', 'self-assured', 'self-possessed', 'believing in oneself', 'self-assertive', 'authoritative', 'strong-willed', 'insistent', 'firm', 'determined', 'commanding', 'bullish', 'dominant', 'domineering', 'assaultive'"
26,Harmless,https://lex-audio.useremarkable.com/mp3/harmless_us_1.mp3,Not able or likely to cause harm.,The venom of most spiders is harmless to humans,"'safe', 'innocuous', 'benign', 'gentle', 'mild', 'wholesome', 'non-dangerous', 'non-toxic', 'non-poisonous', 'non-irritant', 'non-addictive'"
27,Cultivate,https://lex-audio.useremarkable.com/mp3/cultivate_us_1.mp3,Prepare and use (land) for crops or gardening.,The peasants who cultivated the land became its owners,"'till', 'plough', 'dig', 'turn', 'hoe'"
28,Manifest,https://lex-audio.useremarkable.com/mp3/manifest_us_1.mp3,Display or show (a quality or feeling) by one's acts or appearance; demonstrate.,Ray manifested signs of severe depression,"'display', 'show', 'exhibit', 'demonstrate', 'betray', 'present', 'evince', 'reveal', 'indicate', 'make plain', 'express', 'declare'"
29,Futility,https://lex-audio.useremarkable.com/mp3/futility_us_3.mp3,Pointlessness or uselessness.,The horror and futility of war,"'fruitlessness', 'vanity', 'pointlessness'"
30,Derive,https://lex-audio.useremarkable.com/mp3/derive_us_1.mp3,Obtain something from (a specified source),They derived great comfort from this assurance,"'obtain', 'get', 'take', 'gain', 'acquire', 'procure', 'extract', 'attain', 'glean'"
31,Escalate,https://lex-audio.useremarkable.com/mp3/escalate_us_1.mp3,Increase rapidly.,The price of tickets escalated,"'increase rapidly', 'soar', 'rocket', 'shoot up', 'mount', 'surge', 'spiral', 'grow rapidly', 'rise rapidly', 'climb', 'go up'"
32,Morality,https://lex-audio.useremarkable.com/mp3/morality_us_1.mp3,Principles concerning the distinction between right and wrong or good and bad behavior.,The matter boiled down to simple morality: innocent prisoners ought to be freed,"'ethics', 'rights and wrongs', 'correctness', 'ethicality'"
33,Cease,https://lex-audio.useremarkable.com/mp3/cease_us_1.mp3,Bring or come to an end.,The hostilities had ceased and normal life was resumed,"'come to an end', 'come to a halt', 'come to a stop', 'end', 'halt', 'stop', 'conclude', 'terminate', 'finish', 'wind up', 'draw to a close', 'be over', 'come to a standstill'"
34,Murderer,https://lex-audio.useremarkable.com/mp3/murderer_us_1.mp3,A person who commits murder; a killer.,Convicted murderers,"'killer', 'liquidator', 'terminator', 'slaughterer'"
35,Ignorance,https://lex-audio.useremarkable.com/mp3/ignorance_us_1.mp3,Lack of knowledge or information.,He acted in ignorance of basic procedures,"'incomprehension', 'unawareness', 'unconsciousness', 'inexperience', 'innocence'"
36,Rude,https://lex-audio.useremarkable.com/mp3/rude_us_1.mp3,Offensively impolite or ill-mannered.,She had been rude to her boss,"'ill-mannered', 'bad-mannered', 'impolite', 'discourteous', 'impertinent', 'insolent', 'impudent', 'cheeky', 'audacious', 'presumptuous', 'uncivil', 'disrespectful', 'unmannerly', 'ill-bred', 'churlish', 'crass', 'curt', 'brusque', 'blunt', 'ungracious', 'graceless', 'brash', 'unpleasant', 'disagreeable', 'offhand', 'short', 'sharp'"
37,Astonishing,https://lex-audio.useremarkable.com/mp3/astonishing_us_1.mp3,Extremely surprising or impressive; amazing.,An astonishing achievement,"'amazing', 'astounding', 'staggering', 'shocking', 'surprising', 'breathtaking', 'striking', 'impressive', 'bewildering', 'stunning', 'stupefying'"
38,Conquest,https://lex-audio.useremarkable.com/mp3/xconquest_us_2.mp3,The subjugation and assumption of control of a place or people by use of military force.,The conquest of the aztecs by the spanish,"'defeat', 'beating', 'conquering', 'vanquishment', 'vanquishing', 'trouncing', 'annihilation', 'overpowering', 'overthrow', 'subduing', 'subjugation', 'rout', 'mastery', 'crushing'"
39,Immutable,https://lex-audio.useremarkable.com/mp3/immutable_us_1.mp3,Unchanging over time or unable to be changed.,An immutable fact,"'unchangeable', 'fixed', 'set', 'rigid', 'inflexible', 'unyielding', 'unbending', 'permanent', 'entrenched', 'established', 'well established', 'unshakeable', 'irremovable', 'indelible', 'ineradicable'"
40,Understandable,https://lex-audio.useremarkable.com/mp3/understandable_us_1.mp3,Able to be understood.,"Though his accent was strange, the words were perfectly understandable","'comprehensible', 'easy to understand', 'intelligible', 'penetrable', 'fathomable', 'graspable', 'lucid', 'coherent', 'clear', 'crystal clear', 'explicit', 'unambiguous', 'transparent', 'plain', 'straightforward', 'digestible', 'user-friendly', 'glanceable'"
41,Untangle,https://lex-audio.useremarkable.com/mp3/untangle_us_1.mp3,Free from a tangled or twisted state.,Fishermen untangle their nets,"'disentangle', 'unravel', 'unsnarl', 'unjumble', 'straighten out', 'sort out', 'untwist', 'untwine', 'untie', 'unknot', 'undo'"
42,Dread,https://lex-audio.useremarkable.com/mp3/dread_us_1.mp3,Anticipate with great apprehension or fear.,Jane was dreading the party,"'fear', 'be afraid of', 'worry about', 'be anxious about', 'have forebodings about', 'feel apprehensive about'"
43,Oblivion,https://lex-audio.useremarkable.com/mp3/oblivion_us_1.mp3,The state of being unaware or unconscious of what is happening.,They drank themselves into oblivion,"'unconsciousness', 'insensibility', 'stupor', 'stupefaction', 'senselessness', 'blankness', 'darkness'"
44,Feast,https://lex-audio.useremarkable.com/mp3/feast_us_1.mp3,"A large meal, typically one in celebration of something.",A wedding feast,"'banquet', 'celebration meal', 'lavish dinner', 'sumptuous repast', 'large meal', 'formal meal', 'formal dinner'"
45,Lantern,https://lex-audio.useremarkable.com/mp3/lantern_us_1.mp3,"A lamp with a transparent case protecting the flame or electric bulb, and typically having a handle by which it can be carried or hung.",A paper lantern,"'lamp', 'flashlight'"
46,Esoteric,https://lex-audio.useremarkable.com/mp3/esoteric_us_1.mp3,Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.,Esoteric philosophical debates,"'abstruse', 'obscure', 'arcane', 'recherché', 'rarefied', 'recondite', 'abstract', 'difficult', 'hard', 'puzzling', 'perplexing', 'enigmatic', 'inscrutable', 'cryptic', 'Delphic'"
47,Glamorous,https://lex-audio.useremarkable.com/mp3/glamorous_us_1.mp3,Attractive or appealing in an exotic or exciting way.,Being a singer must be such a glamorous lifestyle,"'alluring', 'beautiful', 'attractive', 'elegant', 'chic', 'smart', 'well dressed', 'stylish', 'fashionable'"
48,Manageable,https://lex-audio.useremarkable.com/mp3/manageable_us_1.mp3,"Able to be managed, controlled, or accomplished without great difficulty.",It leaves hair feeling soft and manageable,"'achievable', 'doable', 'practicable', 'possible', 'feasible', 'reasonable', 'attainable', 'viable'"
49,Disillusion,https://lex-audio.useremarkable.com/mp3/disillusion_us_1.mp3,Cause (someone) to realize that a belief or an ideal is false.,"If they think we have a magic formula to solve the problem, don't disillusion them","'disabuse', 'undeceive', 'enlighten', 'set straight', ""open someone's eyes"""
50,Credible,https://lex-audio.useremarkable.com/mp3/credible_us_1.mp3,Able to be believed; convincing.,Few people found his story credible,"'acceptable', 'trustworthy', 'reliable', 'dependable', 'sure', 'good', 'valid'"
51,Elude,https://lex-audio.useremarkable.com/mp3/elude_gb_1_8.mp3,"Escape from or avoid (a danger, enemy, or pursuer), typically in a skilful or cunning way.",He tried to elude the security men by sneaking through a back door,"'evade', 'avoid', 'get away from', 'dodge', 'flee', 'escape', 'escape from', 'run from', 'run away from'"
52,Piecemeal,https://lex-audio.useremarkable.com/mp3/piecemeal_us_1.mp3,"In an unsystematic way, through partial measures taken over a period of time.",Many organizations have been built up piecemeal,"'a little at a time', 'piece by piece', 'bit by bit', 'gradually', 'slowly', 'in stages', 'in steps', 'step by step', 'little by little', 'by degrees', 'by fits and starts', 'in fits and starts', 'in bits'"
53,Inherent,https://lex-audio.useremarkable.com/mp3/inherent_us_1_rr.mp3,"Existing in something as a permanent, essential, or characteristic attribute.",Any form of mountaineering has its inherent dangers,"'intrinsic', 'innate', 'immanent', 'built-in', 'inborn', 'ingrained', 'deep-rooted'"
54,Overweening,https://lex-audio.useremarkable.com/mp3/overweening_us_1.mp3,Showing excessive confidence or pride.,Overweening ambition,"'overconfident', 'conceited', 'cocksure', 'cocky', 'smug', 'haughty', 'supercilious', 'disdainful', 'lofty', 'patronizing', 'arrogant', 'proud', 'vain', 'vainglorious', 'self-important', 'egotistical', 'high-handed', 'magisterial', 'cavalier', 'imperious', 'domineering', 'dictatorial', 'overbearing', 'presumptuous', 'lordly', 'peremptory', 'pompous', 'officious', 'blustering', 'boastful', 'self-assertive', 'opinionated', 'bold', 'forward', 'insolent'"
55,Bosom,https://lex-audio.useremarkable.com/mp3/bosom_us_1.mp3,A woman's chest.,Her ample bosom,"'bust', 'chest'"
56,Unchanged,https://lex-audio.useremarkable.com/mp3/unchanged_us_1.mp3,Not changed; unaltered.,The landscape has remained unchanged for a thousand years,"'fixed', 'established', 'hard and fast', 'determined', 'predetermined', 'arranged', 'prearranged', 'prescribed', 'scheduled', 'specified', 'defined', 'appointed', 'decided', 'agreed'"
57,Malaise,https://lex-audio.useremarkable.com/mp3/malaise_us_1_rr.mp3,"A general feeling of discomfort, illness, or uneasiness whose exact cause is difficult to identify.",A general air of malaise,"'unhappiness', 'restlessness', 'uneasiness', 'unease', 'melancholy', 'depression', 'despondency', 'dejection', 'disquiet', 'trouble', 'anxiety', 'anguish', 'angst'"
58,Humankind,https://lex-audio.useremarkable.com/mp3/humankind_us_2_rr.mp3,Human beings considered collectively (used as a neutral alternative to “mankind”),The origin of humankind,"'the human race', 'the human species', 'humanity', 'mankind', 'man', 'people', 'mortals'"
59,Believe,https://lex-audio.useremarkable.com/mp3/believe_gb_1.mp3,"Accept that (something) is true, especially without proof.",The superintendent believed lancaster's story,"'be convinced by', 'trust', 'have confidence in', 'consider honest', 'consider truthful'"
60,Surrender,https://lex-audio.useremarkable.com/mp3/surrender_us_1.mp3,Cease resistance to an enemy or opponent and submit to their authority.,Over 140 rebels surrendered to the authorities,"'capitulate', 'give in', 'give up', 'give oneself up', 'yield', 'concede', 'submit', 'climb down', 'give way', 'defer', 'acquiesce', 'back down', 'cave in', 'relent', 'succumb', 'quit', 'crumble'"
61,Nagging,https://lex-audio.useremarkable.com/mp3/nagging_us_1.mp3,(of a person) constantly harassing someone to do something.,I wanted to get away from my nagging parents,"'complaining', 'criticizing', 'grumbling', 'fault-finding', 'moaning', 'scolding', 'carping', 'shrewish', 'cavilling'"
62,Illicit,https://lex-audio.useremarkable.com/mp3/illicit_us_1.mp3,"Forbidden by law, rules, or custom.",Illicit drugs,"'illegal', 'unlawful', 'illegitimate', 'against the law'"
63,Confusing,https://lex-audio.useremarkable.com/mp3/xconfusing_us_1.mp3,Bewildering or perplexing.,He found being in egypt very confusing,"'bewildering', 'baffling', 'difficult', 'difficult to understand', 'unclear', 'perplexing', 'puzzling', 'mystifying', 'mysterious', 'disconcerting'"
64,Vigorous,https://lex-audio.useremarkable.com/mp3/vigorous_us_1.mp3,"Strong, healthy, and full of energy.","A tall, vigorous, and muscular man","'robust', 'healthy', 'in good health', 'hale and hearty', 'strong', 'strong as an horse', 'strong as an lion', 'strong as an ox', 'sturdy', 'fine', 'fit', 'in good condition', 'in tip-top condition', 'in good shape', 'in good trim', 'in good kilter'"
65,Dispensation,https://lex-audio.useremarkable.com/mp3/dispensation_us_1.mp3,Exemption from a rule or usual requirement.,"Although she was too young, she was given special dispensation to play two matches","'exemption', 'immunity', 'exception', 'exclusion', 'exoneration', 'freedom', 'release', 'relief', 'reprieve', 'remission', 'relaxation', 'absolution'"
66,Undergo,https://lex-audio.useremarkable.com/mp3/undergo_us_1.mp3,"Experience or be subjected to (something, typically something unpleasant, painful, or arduous)",The baby underwent a life-saving brain operation,"'go through', 'experience', 'engage in', 'undertake', 'live through', 'face', 'encounter', 'submit to', 'be subjected to', 'come in for', 'receive', 'sustain', 'endure', 'brave', 'bear', 'tolerate', 'stand', 'withstand', 'put up with', 'weather', 'support', 'brook', 'suffer', 'cope with'"
67,Accumulate,https://lex-audio.useremarkable.com/mp3/accumulate_gb_1_8.mp3,Gather together or acquire an increasing number or quantity of.,Investigators have yet to accumulate enough evidence,"'gather', 'collect', 'assemble'"
68,Tedious,https://lex-audio.useremarkable.com/mp3/tedious_us_1.mp3,"Too long, slow, or dull; tiresome or monotonous.",A tedious journey,"'boring', 'monotonous', 'dull', 'deadly dull', 'uninteresting', 'unexciting', 'unvaried', 'unvarying', 'lacking variety', 'mind-numbing', 'mindless', 'soul-destroying', 'soulless', 'humdrum', 'dreary', 'ho-hum', 'mundane', 'wearisome', 'wearying', 'tiresome', 'soporific', 'dry', 'as dry as dust', 'arid', 'lifeless', 'colourless', 'monochrome', 'uninspired', 'uninspiring', 'flat', 'plodding', 'slow', 'banal', 'vapid', 'insipid', 'bland', 'lacklustre', 'prosaic', 'run-of-the-mill', 'pedestrian', 'jejune', 'leaden', 'heavy'"
69,Genteel,https://lex-audio.useremarkable.com/mp3/genteel_us_1.mp3,"Polite, refined, or respectable, often in an affected or ostentatious way.",Her genteel upbringing,"'refined', 'respectable', 'polished', 'decorous', 'proper', 'polite', 'correct', 'seemly', 'well mannered', 'well bred', 'cultivated', 'cultured', 'sophisticated', 'courteous', 'ladylike', 'gentlemanly', 'civil', 'elegant', 'stylish', 'urbane', 'civilized', 'courtly', 'dignified', 'gracious', 'punctilious'"
70,Adversity,https://lex-audio.useremarkable.com/mp3/adversity_us_1_rr.mp3,Difficulties; misfortune.,Resilience in the face of adversity,"'misfortune', 'ill luck', 'bad luck', 'trouble', 'difficulty', 'hardship', 'distress', 'disaster', 'misadventure', 'suffering', 'affliction', 'sorrow', 'misery', 'heartbreak', 'heartache', 'wretchedness', 'tribulation', 'woe', 'pain', 'trauma', 'torment', 'torture'"
71,Apathy,https://lex-audio.useremarkable.com/mp3/apathy_us_1.mp3,"Lack of interest, enthusiasm, or concern.",Widespread apathy among students,"'indifference', 'lack of interest', 'lack of enthusiasm', 'lack of concern', 'unconcern', 'uninterestedness', 'unresponsiveness', 'impassivity', 'passivity', 'passiveness', 'detachment', 'dispassion', 'dispassionateness', 'lack of involvement', 'phlegm', 'coolness'"
72,Soon,https://lex-audio.useremarkable.com/mp3/soon_gb_1.mp3,In or after a short time.,Everyone will soon know the truth,"'in a short time', 'shortly', 'presently', 'in the near future', 'before long', 'in a little while', 'in a minute', 'in a moment', 'in an instant', 'in a twinkling', 'in the twinkling of an eye', 'before you know it', 'any minute', 'any minute now', 'any day', 'any day now', 'any time', 'any time now', 'by and by'"
73,Waiter,https://lex-audio.useremarkable.com/mp3/waiter_us_1.mp3,A man whose job is to serve customers at their tables in a restaurant.,"Arriving passengers greet their cabin stewards and table waiters like long-lost family friends with smiling handshakes, hugs and much backslapping.","'server', 'waitress', 'stewardess', 'steward', 'attendant'"
74,Rich,https://lex-audio.useremarkable.com/mp3/rich_1_gb_1.mp3,Having a great deal of money or assets; wealthy.,A rich and famous family,"'wealthy', 'affluent', 'moneyed', 'cash rich', 'well off', 'well-to-do', 'with deep pockets', 'prosperous', 'opulent', 'substantial', 'propertied'"
75,Unrealistic,https://lex-audio.useremarkable.com/mp3/unrealistic_us_1.mp3,Not realistic.,It was unrealistic to expect changes to be made overnight,"'impractical', 'impracticable', 'unworkable', 'unfeasible', 'non-viable'"
76,Paradox,https://lex-audio.useremarkable.com/mp3/paradox_us_1.mp3,A seemingly absurd or self-contradictory statement or proposition that when investigated or explained may prove to be well founded or true.,"In a paradox, he has discovered that stepping back from his job has increased the rewards he gleans from it","'contradiction', 'contradiction in terms', 'self-contradiction', 'inconsistency', 'incongruity', 'anomaly', 'conflict'"
77,Oppression,https://lex-audio.useremarkable.com/mp3/oppression_us_1.mp3,Prolonged cruel or unjust treatment or control.,A region shattered by oppression and killing,"'persecution', 'abuse', 'maltreatment', 'ill treatment', 'tyranny', 'despotism', 'repression', 'suppression', 'subjection', 'subjugation', 'enslavement', 'exploitation'"
78,Dabble,https://lex-audio.useremarkable.com/mp3/dabble_us_1.mp3,Immerse (one's hands or feet) partially in water and move them around gently.,They dabbled their feet in the rock pools,"'splash', 'dip', 'paddle', 'wet', 'moisten', 'dampen', 'immerse', 'trail'"
79,Setback,https://lex-audio.useremarkable.com/mp3/setback_us_1.mp3,A reversal or check in progress.,A serious setback for the peace process,"'problem', 'difficulty', 'issue', 'hitch', 'complication', 'upset', 'disappointment', 'misfortune', 'mishap', 'piece of bad luck', 'unfortunate development', 'reversal', 'reverse', 'reverse of fortune'"
80,Hypocritical,https://lex-audio.useremarkable.com/mp3/hypocritical_us_1.mp3,Behaving in a way that suggests one has higher standards or more noble beliefs than is the case.,We don't go to church and we thought it would be hypocritical to have him christened,"'sanctimonious', 'pious', 'pietistic', 'self-righteous', 'holier-than-thou', 'superior', 'insincere', 'specious', 'feigned', 'pretended', 'hollow', 'false'"
81,Morass,https://lex-audio.useremarkable.com/mp3/morass_us_1.mp3,An area of muddy or boggy ground.,In midwinter the track beneath this bridge became a muddy morass,"'quagmire', 'swamp', 'bog', 'marsh', 'mire', 'quag', 'marshland', 'peat bog', 'fen', 'slough', 'quicksand'"
82,Destructive,https://lex-audio.useremarkable.com/mp3/destructive_us_1.mp3,Causing great and irreparable harm or damage.,The destructive power of weapons,"'devastating', 'ruinous', 'disastrous', 'catastrophic', 'calamitous', 'cataclysmic'"
83,Satisfying,https://lex-audio.useremarkable.com/mp3/satisfying_us_1.mp3,Giving fulfillment or the pleasure associated with this.,Fleischer's performance was consummately musical and deeply satisfying,"'fulfilling', 'rewarding', 'gratifying', 'pleasing', 'enjoyable', 'pleasurable', ""to one's liking"""
84,Inadvertently,https://lex-audio.useremarkable.com/mp3/inadvertently_us_1.mp3,Without intention; accidentally.,His name had been inadvertently omitted from the list,"'accidentally', 'by accident', 'unintentionally', 'unwittingly'"
85,Retire,https://lex-audio.useremarkable.com/mp3/retire_us_1.mp3,"Leave one's job and cease to work, typically upon reaching the normal age for leaving employment.",He retired from the navy in 1966,"'give up work', 'stop working', 'stop work'"
86,Arise,https://lex-audio.useremarkable.com/mp3/arise_gb_1.mp3,"(of a problem, opportunity, or situation) emerge; become apparent.",New difficulties had arisen,"'come to light', 'become apparent', 'make an appearance', 'appear', 'emerge', 'crop up', 'turn up', 'come about', 'surface', 'spring up', 'enter into the picture'"
87,Deprived,https://lex-audio.useremarkable.com/mp3/deprived_us_1.mp3,Suffering a severe and damaging lack of basic material and cultural benefits.,The charity cares for destitute and deprived children,"'disadvantaged', 'underprivileged', 'poverty-stricken', 'impoverished', 'poor', 'destitute', 'needy', 'in need', 'in want', 'badly off', 'unable to make ends meet', 'in reduced circumstances', 'unable to keep the wolf from the door'"
88,Stride,https://lex-audio.useremarkable.com/mp3/stride_us_1.mp3,"Walk with long, decisive steps in a specified direction.",He strode across the road,"'march', 'stalk', 'pace', 'tread', 'step', 'walk'"
89,Reassure,https://lex-audio.useremarkable.com/mp3/reassure_us_1.mp3,Say or do something to remove the doubts or fears of (someone),He understood her feelings and tried to reassure her,"""put someone's mind at rest"", ""set someone's mind at rest"", ""dispel someone's fears"", ""bolster someone's confidence"", ""restore someone's confidence"", ""raise someone's spirits"", 'put someone at ease', 'encourage', 'hearten', 'buoy up', 'cheer up'"
90,Consolation,https://lex-audio.useremarkable.com/mp3/xconsolation_us_1.mp3,The comfort received by a person after a loss or disappointment.,There was consolation in knowing that others were worse off,"'comfort', 'solace'"
91,Disillusioned,https://lex-audio.useremarkable.com/mp3/disillusioned_us_1.mp3,Disappointed in someone or something that one discovers to be less good than one had believed.,The minority groups were completely disillusioned with the party,"'disenchanted', 'disappointed', 'let down', 'cast down', 'downcast', 'discouraged'"
